service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20251110,20251219
2,1,1,1,1,1,1,1,20251110,20260906
3,0,0,0,0,0,0,1,20251116,20260830
4,1,0,0,0,1,0,0,20251110,20260831
5,0,0,0,0,1,0,0,20251114,20260828
6,1,1,1,1,1,1,0,20251110,20260926
7,0,0,0,0,0,0,1,20251116,20260920
8,0,0,0,0,1,0,0,20251114,20260904
9,1,1,1,1,0,0,0,20251110,20260907
10,1,1,1,1,1,1,1,20251110,20260702
11,1,1,1,1,1,0,0,20251110,20260324
12,1,1,1,1,1,0,0,20251110,20261111
13,0,0,0,0,1,0,0,20251114,20261106
14,1,1,1,1,0,0,0,20251110,20261111
15,0,0,0,0,0,1,0,20251115,20261107
16,1,1,1,1,1,1,1,20251110,20261111
17,1,1,1,1,1,1,0,20251110,20261111
18,0,0,0,0,0,0,1,20251116,20261108
19,1,1,1,1,1,1,1,20251110,20260314
20,0,1,0,0,1,0,0,20251111,20261020
21,0,0,0,0,1,1,1,20251114,20261018
22,0,1,0,1,0,0,0,20251111,20261020
23,1,1,1,1,1,1,1,20251110,20261020
24,1,1,1,1,1,1,1,20251110,20260503
25,1,1,1,1,1,0,0,20251110,20260501
26,1,1,1,1,1,0,0,20251110,20261111
27,1,1,1,1,1,1,1,20260301,20261111
28,1,1,1,1,1,0,0,20251110,20260724
29,0,0,0,0,0,1,0,20251115,20260725
30,0,0,0,0,0,0,1,20251116,20260719
31,1,1,1,1,1,1,0,20251110,20260725
32,1,1,1,1,1,0,0,20251110,20260123
33,1,1,1,1,1,1,1,20251110,20260123
34,1,0,0,0,0,0,0,20251110,20251117
35,0,1,0,0,0,0,0,20251111,20251118
36,0,0,1,0,0,0,0,20251112,20251119
37,0,0,0,1,0,0,0,20251113,20251120
38,0,0,0,0,1,0,0,20251114,20251114
39,0,0,0,0,0,1,0,20251115,20251115
40,0,0,0,0,0,0,1,20251116,20251116
41,1,0,0,0,0,0,0,20251110,20251110
42,0,1,0,0,0,0,0,20251111,20251111
43,0,0,0,0,0,0,1,20251116,20261108
44,0,0,0,0,1,0,0,20251114,20261106
45,1,1,1,1,1,0,0,20251110,20261111
46,1,1,1,1,0,0,0,20251110,20261111
47,0,0,0,0,0,0,0,20251225,20261026
48,1,0,0,0,0,0,0,20251110,20261109
49,1,1,1,1,1,0,0,20251110,20261111
50,0,0,0,0,1,0,0,20251114,20261106
51,0,0,0,0,0,1,1,20251115,20261108
52,0,0,0,0,0,0,1,20251116,20261108
53,1,0,0,0,0,0,0,20251110,20261109
54,0,1,1,1,1,0,0,20251111,20261111
55,0,0,0,0,0,0,0,20260202,20261026
56,0,0,0,0,0,1,0,20251115,20251227
57,0,0,0,0,0,0,1,20251116,20251228
58,1,1,1,1,1,1,1,20251110,20260109
59,1,1,1,1,1,0,0,20251110,20260109
60,0,0,0,0,0,1,0,20251115,20260103
61,0,0,0,0,0,0,1,20251116,20260104
62,0,0,0,0,0,0,0,20251208,20251224
63,1,1,1,1,1,1,0,20251110,20261111
64,0,0,0,0,0,0,0,20251225,20261026
65,0,0,0,0,1,1,0,20251114,20261107
66,0,0,0,0,0,1,0,20251115,20261107
67,0,0,0,0,0,0,0,20260602,20260930
68,0,0,0,0,0,0,0,20260606,20260926
69,0,0,0,0,0,0,0,20260607,20260927
70,0,0,0,0,0,0,0,20260601,20260803
71,1,1,1,1,1,0,0,20251110,20261111
72,0,0,0,0,0,0,1,20251116,20261108
73,0,1,0,0,0,0,0,20251111,20261110
74,0,0,0,1,0,0,0,20251113,20261105
75,1,1,1,1,1,0,0,20251110,20261111
